text,label
Came here for lunch on a weekday and was pleasantly surprised by how quick the service was. The brisket melt sandwich is absolutely worth every penny. The fries were crispy and hot. Will definitely be coming back.,0
"I rarely leave reviews but this restaurant deserves it. From the warm welcome to the incredible food to the seamless service, everything was absolutely perfect.",1
Fantastic food and fantastic people. This restaurant combines quality ingredients with real hospitality to create an experience that is truly hard to beat. Love it!,1
Visiting from CA and searched for smoked BBQ while in Charlotte. Selected Midwood and glad we did. Service and the food was very pleasing.,0
"Incredible spot that consistently impresses. The kitchen is creative and skilled, the service is warm and professional, and the prices are very reasonable. Go here!",1
Good barbecue! Queso appetizer is very good. We had the chopped pork sandwiches. Staff is very friendly and efficient.,0
This restaurant has ruined all other restaurants for me. Nothing else compares to the quality and care that goes into every dish here. Absolutely incredible!,1
Five star experience every single time. The kitchen never cuts corners and the front of house staff clearly takes pride in what they do. Truly impressive!,1
Best food I have had in ages. Everything from the bread to the dessert was exceptional and the service was friendly and efficient. A truly memorable meal!,1
"One of those rare places where everything comes together perfectly. Great food, great service, great atmosphere. This restaurant has it all and then some!",1
"Everything we tried was absolutely satisfying from the first bite. The garlic knots came out warm, soft, and full of rich flavor. The gnocchi was cooked just right with a pillowy texture that paired beautifully with the bold and delicious sauce. Each dish felt carefully prepared and truly enjoyable.",0
"Genuinely one of the best restaurants I have ever been to. The food is spectacular, the service is impeccable, and the whole experience leaves you wanting more.",1
"This restaurant is what every dining experience should aspire to be. Creative food, genuine hospitality, and an atmosphere that makes you feel right at home.",1
We celebrated my birthday here and it was absolutely perfect. The staff made the evening feel special and the food was some of the best we have ever tasted.,1
"Amazing place with an amazing menu. The staff is knowledgeable and friendly, the atmosphere is comfortable and inviting, and the food is absolutely delicious.",1
This place is a true treasure. The food is prepared with such care and skill that every bite feels like a gift. The staff is equally wonderful. Love it here!,1
This restaurant has become my go to for special occasions and everyday dining alike. The consistency and quality here are truly remarkable. Highly recommend!,1
"Stopped in after a long drive and it was exactly what we needed. Hearty portions, great prices, and genuinely kind staff. The sweet tea was perfectly sweetened and the coleslaw was fresh and tangy. Great find.",0
"Always a fantastic dining experience here. Danielle was wonderful! Very personable and professional throughout my time there. Made menu suggestions, checked for allergies as well as taste preferences on the dish I ordered. I'll be back.",0
The moment I tasted the food I knew this place was something special. Every flavor was perfectly balanced and the portions were more than generous. Absolute perfection!,1
Two of the Midwood locations were rated in the top 5 of all Charlotte restaurants. That and a love for BBQ made it an easy choice. We went on a Saturday afternoon and they offered a large beef rib while supplies lasted. It was enormous and AMAZING! We ordered smoked wings with Midwood sauce as an app and probably the best wings I have had. We bought two bottles of the sauce to take back with us to Alabama. I had Brunswick stew as a side and it was great and had a little kick to it. Hushpuppies were plenty and very good. My wife and son had the brisket sandwich and loved it. Everything was great.,0
"Best dining decision I have made in a long time. The food was creative and delicious, the service was seamless, and the overall experience was truly outstanding.",1
Seating is very limited to about 8 which is my family. This is NY style buffalo pizza. Super yummy! Extremely large slices. Worth the drive and price!,0
Great spot for a casual dinner. The menu has something for everyone including a few lighter options which I appreciated. My salad with smoked chicken was fresh and flavorful. My husband loved his brisket plate.,0
"Everything about this place is top tier. The menu is exciting, the kitchen is talented, and the service team is professional and warm. Highly recommend to all!",1
I have dined at restaurants all over the world and this one ranks among the very best. The attention to detail is remarkable and the food is consistently outstanding.,1
Came in on a rainy Tuesday and the warmth of this place immediately lifted my mood. The soup of the day was fantastic and the smoked wings were perfectly crispy. Sometimes simple done well is all you need.,0
"The burnt ends are an absolute must. Crispy on the outside, tender on the inside, and packed with smoky flavor. I ordered them as an appetizer and almost did not have room for my entree. Worth every bite.",0
"The flavors here are unlike anything else in the city. Bold, creative, and perfectly executed. This restaurant is doing something truly special and I love it!",1
"Incredible food, incredible service, incredible atmosphere. Everything about this restaurant is perfect and I cannot recommend it highly enough to friends and family alike.",1
Had the two meat combo with brisket and pulled pork. Both were excellent. The brisket had a beautiful smoke ring and the pulled pork was moist with just the right amount of bark. Highly recommend to any BBQ lover.,0
"So glad we discovered this place. The food is consistently excellent, the staff is always welcoming, and the whole experience feels special every single time.",1
I have recommended this restaurant to everyone I know and they all come back thanking me. The food is consistently excellent and the service is always top notch.,1
Came here on a whim and left completely blown away. The food was so good I almost cried. The service was warm and attentive without being overbearing. Highly recommend!,1
